title,author,press_time,money,rating_num,rating_people,short_produce
红楼梦,[清] 曹雪芹 著 , 1996-12 , 59.70元,9.6,311168人评价,都云作者痴，谁解其中味？
活着,余华 , 2012-8-1 , 20.00元,9.4,543089人评价,生的苦难与伟大
1984,[英] 乔治·奥威尔 , 2010-4-1 ,28,9.3,163296人评价,栗树荫下，我出卖你，你出卖我
百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 2011-6 , 39.50元,9.3,312781人评价,魔幻现实主义文学代表作
飘,[美国] 玛格丽特·米切尔 , 2000-9 , 40.00元,9.3,167533人评价,革命时期的爱情，随风而逝
三体全集,刘慈欣 , 2012-1-1 , 168.00元,9.4,67935人评价,地球往事三部曲
三国演义（全二册）,[明] 罗贯中 , 1998-05 , 39.50元,9.3,129774人评价,是非成败转头空
房思琪的初恋乐园,林奕含 , 2018-1 , 45.00元,9.2,216266人评价,向死而生的文学绝唱
白夜行,[日] 东野圭吾 , 2013-1-1 , 39.50元,9.1,305077人评价,一宗离奇命案牵出跨度近20年步步惊心的故事
动物农场,[英] 乔治·奥威尔 , 2007-3 , 10.00元,9.2,100663人评价,太阳底下并无新事
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 , 1981-8 ,68.00元,9.3,97952人评价,名侦探的代名词
小王子,[法] 圣埃克苏佩里 , 2003-8 , 22.00元,9,605763人评价,献给长成了大人的孩子们
天龙八部,金庸 , 1994-5 ,96,9.1,107545人评价,有情皆孽，无人不冤
撒哈拉的故事,三毛 , 2003-8 , 15.80元,9.2,95273人评价,游荡的自由灵魂
安徒生童话故事集,（丹麦）安徒生 , 1997-08 , 25.00元,9.2,95529人评价,为了争取未来的一代
哈利·波特,J.K.罗琳 (J.K.Rowling) , 2008-12-1 , 498.00元,9.7,33450人评价,从9¾站台开始的旅程
冰与火之歌（卷一）,[美] 乔治·R. R. 马丁 , 2005-5 , 68.00元,9.3,33254人评价,凛冬将至。无比宏大的世界观
沉默的大多数,王小波 , 1997-10 , 27.00元,9.1,108327人评价,沉默是沉默者的通行证
人类简史,[以色列] 尤瓦尔·赫拉利 , 2014-11 , CNY 68.00,9.1,141058人评价,跟着人类一同走过十万年
围城,钱锺书 , 1991-2 ,19,8.9,386443人评价,幽默的语言和对生活深刻的观察
平凡的世界（全三部）,路遥 , 2005-1 , 64.00元,9,263352人评价,中国当代城乡生活全景
杀死一只知更鸟,[美] 哈珀·李 , 2012-9 , 32.00元,9.2,87194人评价,有一种东西不能遵循从众原则，那就是——人的良心
明朝那些事儿（1-9）,当年明月 , 2009-4 , 358.20元,9.1,99786人评价,不拘一格的历史书写
局外人,[法] 阿尔贝·加缪 , 2010-8 , 22.00元,9,143636人评价,人生在世，永远也不该演戏作假
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 2012-9-1 , 39.50元,9,196879人评价,义无反顾地直达爱情的核心
笑傲江湖（全四册）,金庸 , 1994-5 , 76.80元,9,92087人评价,欲练此功，必先自宫
中国历代政治得失,钱穆 , 生活·读书·新知三联书店 , 12.00元,9.2,46371人评价,一部简明的“中国政治制度史”
月亮和六便士,[英] 毛姆 , 2006-8 , 15.00元,9,148645人评价,有多少人会经历顿悟，就有更少的人甘愿自我放逐
呐喊,鲁迅 , 人民文学出版社 , 0.36元,9,105489人评价,新文学的第一声呐喊
肖申克的救赎,[美] 斯蒂芬·金 , 2006-7 , 29.90元,9.1,90808人评价,豆瓣电影Top1原著
基督山伯爵,大仲马 , 1991-12-1 , 43.90元,9,105702人评价,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 2006-5 , 18.00元,9,103361人评价,谋杀诡计惊人，波洛的抉择耐人寻味
万历十五年,[美] 黄仁宇 , 1997-5 , 18.00元,8.9,151639人评价,见微知著，历史观的颠覆
追风筝的人,[美] 卡勒德·胡赛尼 , 2006-5 , 29.00元,8.9,669267人评价,为你，千千万万遍
新名字的故事,[意] 埃莱娜·费兰特 , 2017-4 , 59.00元,9,50108人评价,探索青年时代的激情、困惑、挣扎、背叛和失去
失踪的孩子,[意] 埃莱娜·费兰特 , 2018-7 , 62.00元,9.1,40253人评价,我的整个生命，只是一场为了提升社会地位的低俗斗争。
江城,[美] 彼得·海斯勒 , 2012-1 , 36.00元,9.1,40278人评价,外国人眼中的涪陵
乡土中国,费孝通 , 2006-4 ,38,9.2,42300人评价,中国乡土社会传统文化和社会结构理论研究代表作
嫌疑人X的献身,[日] 东野圭吾 , 2008-9 ,28,8.9,430337人评价,数学好是一种极致的浪漫
刀锋,[英]毛姆 , 2007-3 , 18.00元,9,59045人评价,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
寻路中国,[美] 彼得·海斯勒 , 2011-1 , 33.00元,9,43379人评价,《纽约客》驻北京记者驾车漫游中国大陆的经历
城南旧事,林海音 文 , 2003-7 , 16.00元,9,109077人评价,长亭外，古道边，芳草碧连天
射雕英雄传（全四册）,金庸 , 1999-04 , 47.00元,9,67918人评价,侠之大者，为国为民
白鹿原,陈忠实 , 2012-9 , 39.00元,9.2,55003人评价,一轴关于我们民族灵魂的现实主义画卷
我与地坛,史铁生 , 2002-5 , 25.00元,9.1,64878人评价,这是你的罪孽与福祉
格林童话全集,[德国]格林兄弟 , 1994-11 , 21.45元,9,73776人评价,一本有教育意义的书
傲慢与偏见,[英] 奥斯丁 , 1993-7 , 13.00元,8.9,194553人评价,所有现代言情小说的母体
黄金时代,王小波 , 1999-3 , 19.00元,8.9,130022人评价,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
无人生还,[英] 阿加莎・克里斯蒂 , 2008-3 ,19,8.9,105912人评价,童谣杀人案
历史深处的忧虑,林达 , 1997-5 , 19.00元,9,37773人评价,窥见美国社会的一扇窗
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) , 2008-04 ,280,9.6,16519人评价,从最早的洞窟绘画到当今的实验艺术
文学回忆录,木心 口述 , 2013-1-10 , 98.00元,9.1,35708人评价,木心留给世界的礼物
野草,鲁迅 , 1973-3 , 0.20元,9.4,21606人评价,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
史记（全十册）,司马迁 , 1982-11 ,125,9.5,18069人评价,史家之绝唱，无韵之离骚
神雕侠侣,金庸 , 1994-5 , 76.80元,8.9,83456人评价,至情至性，情大于武
悲惨世界（上中下）,[法] 雨果 , 1992-6 , 66.00元,9,52169人评价,现实主义与浪漫主义的至高杰作
许三观卖血记,余华 , 1998-9 , 16.80元,8.8,199907人评价,以博大的温情描绘磨难中的人生
